asset_id,category,variant,path,width,height,expected_width,expected_height,palette_colors,palette_limit,keyed_magenta,md5,size_ok,palette_ok
P_DUKE_05,portrait_frame,source_fullcolor,source_fullcolor/portraits/duke/P_duke_f05.png,512,768,512,768,162428,,False,6b8c80eea04e1522e89e7f09e8a1c342,True,True
P_DUKE_05,portrait_frame,target_fullcolor,target_fullcolor/portraits/duke/P_duke_f05.png,64,96,64,96,5765,,False,c03e82c49bbfbc078004361346fcd201,True,True
P_DUKE_05,portrait_frame,saturn_ready,saturn_ready/portraits/duke/P_duke_f05.png,64,96,64,96,15,15,False,1d54c4c31ef5fd487e630dbf243d9065,True,True
P_DUKE_06,portrait_frame,source_fullcolor,source_fullcolor/portraits/duke/P_duke_f06.png,512,768,512,768,159885,,False,42db666368938ed4c6085c1f3019b408,True,True
P_DUKE_06,portrait_frame,target_fullcolor,target_fullcolor/portraits/duke/P_duke_f06.png,64,96,64,96,5741,,False,8eda254d63496df1bcb6010b8c8f77b3,True,True
P_DUKE_06,portrait_frame,saturn_ready,saturn_ready/portraits/duke/P_duke_f06.png,64,96,64,96,15,15,False,9c61bb8131ac4939d0d0f95ecb28c06d,True,True
P_DUKE_07,portrait_frame,source_fullcolor,source_fullcolor/portraits/duke/P_duke_f07.png,512,768,512,768,162304,,False,c638d852e3edb5b163b097db61c1d143,True,True
P_DUKE_07,portrait_frame,target_fullcolor,target_fullcolor/portraits/duke/P_duke_f07.png,64,96,64,96,5786,,False,76429211385d73c6e9ccf9b0a8218313,True,True
P_DUKE_07,portrait_frame,saturn_ready,saturn_ready/portraits/duke/P_duke_f07.png,64,96,64,96,15,15,False,336ab888856149440ef093dd7a050c2a,True,True
P_DUKE_08,portrait_frame,source_fullcolor,source_fullcolor/portraits/duke/P_duke_f08.png,512,768,512,768,160332,,False,4c9cea0b31127f92791ccd3d03c24b5c,True,True
P_DUKE_08,portrait_frame,target_fullcolor,target_fullcolor/portraits/duke/P_duke_f08.png,64,96,64,96,5756,,False,be3c3c9c56c82798730d499be3669dac,True,True
P_DUKE_08,portrait_frame,saturn_ready,saturn_ready/portraits/duke/P_duke_f08.png,64,96,64,96,15,15,False,1846e9d5135ccb6a10b3475388c5e7a8,True,True
P_ASSASSIN_01,portrait_frame,source_fullcolor,source_fullcolor/portraits/assassin/P_assassin_f01.png,512,768,512,768,112064,,False,c314a1033d8bb0a61ac536e9084f03b5,True,True
P_ASSASSIN_01,portrait_frame,target_fullcolor,target_fullcolor/portraits/assassin/P_assassin_f01.png,64,96,64,96,4487,,False,2e3f80011b9c4e57ee1489760284def9,True,True
P_ASSASSIN_01,portrait_frame,saturn_ready,saturn_ready/portraits/assassin/P_assassin_f01.png,64,96,64,96,15,15,False,36954dd9fe08f1024731041efe4a74e6,True,True
P_ASSASSIN_02,portrait_frame,source_fullcolor,source_fullcolor/portraits/assassin/P_assassin_f02.png,512,768,512,768,110669,,False,ae6da1f453a3d06141a1627e7f5b6828,True,True
P_ASSASSIN_02,portrait_frame,target_fullcolor,target_fullcolor/portraits/assassin/P_assassin_f02.png,64,96,64,96,4464,,False,64d71dc314dad8f6ff57fcb8030996a2,True,True
P_ASSASSIN_02,portrait_frame,saturn_ready,saturn_ready/portraits/assassin/P_assassin_f02.png,64,96,64,96,15,15,False,8045fcf6c5923a0fd55636509c8efe9f,True,True
P_ASSASSIN_03,portrait_frame,source_fullcolor,source_fullcolor/portraits/assassin/P_assassin_f03.png,512,768,512,768,110578,,False,781254e0d126c4d34c4827cda0c923ed,True,True
P_ASSASSIN_03,portrait_frame,target_fullcolor,target_fullcolor/portraits/assassin/P_assassin_f03.png,64,96,64,96,4473,,False,3cf20734c97decd4a8b856a164cd9450,True,True
P_ASSASSIN_03,portrait_frame,saturn_ready,saturn_ready/portraits/assassin/P_assassin_f03.png,64,96,64,96,15,15,False,1fdc52529e2b71ddc48555ed227ea281,True,True
P_ASSASSIN_04,portrait_frame,source_fullcolor,source_fullcolor/portraits/assassin/P_assassin_f04.png,512,768,512,768,111016,,False,28a48b77f3dcd7a5ef69b27f904a52e0,True,True
P_ASSASSIN_04,portrait_frame,target_fullcolor,target_fullcolor/portraits/assassin/P_assassin_f04.png,64,96,64,96,4477,,False,e4fb8692d5ae8ef0f3b0088917c8b197,True,True
P_ASSASSIN_04,portrait_frame,saturn_ready,saturn_ready/portraits/assassin/P_assassin_f04.png,64,96,64,96,15,15,False,8d5cdd92f37bda166f76cb3e48b3ddc2,True,True
P_ASSASSIN_05,portrait_frame,source_fullcolor,source_fullcolor/portraits/assassin/P_assassin_f05.png,512,768,512,768,110978,,False,5fd62cd754a7720b91a32ef7ca2cad8a,True,True
P_ASSASSIN_05,portrait_frame,target_fullcolor,target_fullcolor/portraits/assassin/P_assassin_f05.png,64,96,64,96,4433,,False,5f4f71a88aeb9e03543864aa6f90522a,True,True
P_ASSASSIN_05,portrait_frame,saturn_ready,saturn_ready/portraits/assassin/P_assassin_f05.png,64,96,64,96,15,15,False,366ad9484efed481cb60c3cf48bfd4e2,True,True
P_ASSASSIN_06,portrait_frame,source_fullcolor,source_fullcolor/portraits/assassin/P_assassin_f06.png,512,768,512,768,108473,,False,a310ba563dc086ea3a02c94b4bf235a4,True,True
P_ASSASSIN_06,portrait_frame,target_fullcolor,target_fullcolor/portraits/assassin/P_assassin_f06.png,64,96,64,96,4450,,False,07849bcc3aa2d282b5e7debd8f56f6ae,True,True
P_ASSASSIN_06,portrait_frame,saturn_ready,saturn_ready/portraits/assassin/P_assassin_f06.png,64,96,64,96,15,15,False,e464662c6911d6f76109831d0df2d8cf,True,True
P_ASSASSIN_07,portrait_frame,source_fullcolor,source_fullcolor/portraits/assassin/P_assassin_f07.png,512,768,512,768,110434,,False,b47b2073c7bf42e4b2e5332cc3f0dbcb,True,True
P_ASSASSIN_07,portrait_frame,target_fullcolor,target_fullcolor/portraits/assassin/P_assassin_f07.png,64,96,64,96,4483,,False,0b0fbb88059aa5a497e7b9931f29d400,True,True
P_ASSASSIN_07,portrait_frame,saturn_ready,saturn_ready/portraits/assassin/P_assassin_f07.png,64,96,64,96,15,15,False,f4d6da6cb6cf02fc61476572acf5bf93,True,True
P_ASSASSIN_08,portrait_frame,source_fullcolor,source_fullcolor/portraits/assassin/P_assassin_f08.png,512,768,512,768,109571,,False,075e01bddec766046c9bf8445e22c31f,True,True
P_ASSASSIN_08,portrait_frame,target_fullcolor,target_fullcolor/portraits/assassin/P_assassin_f08.png,64,96,64,96,4448,,False,210a471b1c41cabc9f4982ff3001fba1,True,True
P_ASSASSIN_08,portrait_frame,saturn_ready,saturn_ready/portraits/assassin/P_assassin_f08.png,64,96,64,96,15,15,False,1588d77ea5cc89c7cf3985edea2e280d,True,True
P_CAPTAIN_01,portrait_frame,source_fullcolor,source_fullcolor/portraits/captain/P_captain_f01.png,512,768,512,768,92050,,False,24cd161d5af21ba4d932f5b35c886452,True,True
P_CAPTAIN_01,portrait_frame,target_fullcolor,target_fullcolor/portraits/captain/P_captain_f01.png,64,96,64,96,4167,,False,aa9e3fb8ac203c3b88cb241dd878a920,True,True
P_CAPTAIN_01,portrait_frame,saturn_ready,saturn_ready/portraits/captain/P_captain_f01.png,64,96,64,96,15,15,False,f002b374208e26da7b4a604bdfb41c58,True,True
P_CAPTAIN_02,portrait_frame,source_fullcolor,source_fullcolor/portraits/captain/P_captain_f02.png,512,768,512,768,90536,,False,5ba2f74cd4ad224f1731b2e37c403c92,True,True
P_CAPTAIN_02,portrait_frame,target_fullcolor,target_fullcolor/portraits/captain/P_captain_f02.png,64,96,64,96,4152,,False,204f29f28382d422da251950d4fb2ead,True,True
P_CAPTAIN_02,portrait_frame,saturn_ready,saturn_ready/portraits/captain/P_captain_f02.png,64,96,64,96,15,15,False,a796eb7d691218c3af7a9566c7f5839a,True,True
